  layer: model.features.26.weight,	  offset: 841072,	  bitflip: (9, 0),	
  layer: model.features.14.weight,	  offset: 32896,	  bitflip: (9, 0),	
  layer: model.features.19.weight,	  offset: 303350,	  bitflip: (9, 0),	
  layer: model.features.26.weight,	  offset: 1481585,	  bitflip: (9, 0),	
  layer: model.features.14.weight,	  offset: 293252,	  bitflip: (9, 0),	
  layer: model.features.26.weight,	  offset: 767345,	  bitflip: (9, 0),	
  layer: model.features.24.weight,	  offset: 1235299,	  bitflip: (9, 0),	
  layer: model.features.21.weight,	  offset: 180313,	  bitflip: (9, 0),	
  layer: model.features.21.weight,	  offset: 13306,	  bitflip: (9, 0),	
  layer: model.features.12.weight,	  offset: 164041,	  bitflip: (9, 0),	
  layer: model.features.17.weight,	  offset: 831874,	  bitflip: (9, 0),	
  layer: model.features.19.weight,	  offset: 1865465,	  bitflip: (9, 0),	
  layer: model.features.17.weight,	  offset: 475770,	  bitflip: (9, 0),	
  layer: model.features.19.weight,	  offset: 306868,	  bitflip: (9, 0),	
  layer: model.features.10.weight,	  offset: 57988,	  bitflip: (9, 0),	
  layer: model.features.26.weight,	  offset: 965488,	  bitflip: (9, 0),	
  layer: model.features.2.weight,	  offset: 26232,	  bitflip: (9, 0),	
  layer: model.features.24.weight,	  offset: 2355044,	  bitflip: (9, 0),	
  layer: model.features.24.weight,	  offset: 1237846,	  bitflip: (9, 0),	
  layer: model.features.5.weight,	  offset: 2715,	  bitflip: (9, 0),	
  layer: model.features.19.weight,	  offset: 54517,	  bitflip: (9, 0),	
  layer: model.features.17.weight,	  offset: 11650,	  bitflip: (9, 0),	
  layer: model.features.21.weight,	  offset: 81980,	  bitflip: (9, 0),	
  layer: model.features.19.weight,	  offset: 2224885,	  bitflip: (9, 0),	
  layer: model.features.24.weight,	  offset: 967837,	  bitflip: (9, 0),	
  layer: model.features.5.weight,	  offset: 7320,	  bitflip: (9, 0),	
  layer: model.features.12.weight,	  offset: 165801,	  bitflip: (9, 0),	
  layer: model.features.10.weight,	  offset: 283784,	  bitflip: (9, 0),	
  layer: model.features.21.weight,	  offset: 1484374,	  bitflip: (9, 0),	
  layer: model.features.7.weight,	  offset: 49650,	  bitflip: (9, 0),	
  layer: model.features.0.weight,	  offset: 943,	  bitflip: (9, 0),	
  layer: model.features.14.weight,	  offset: 2948,	  bitflip: (9, 0),	
  layer: model.features.21.weight,	  offset: 1488115,	  bitflip: (11, 0),	
  layer: model.features.24.weight,	  offset: 566945,	  bitflip: (9, 0),	
  layer: model.features.17.weight,	  offset: 981112,	  bitflip: (9, 0),	
  layer: model.features.5.weight,	  offset: 25178,	  bitflip: (9, 0),	
  layer: model.features.17.weight,	  offset: 979327,	  bitflip: (10, 1),	
  layer: model.features.24.weight,	  offset: 1013916,	  bitflip: (10, 1),	
  layer: model.features.5.weight,	  offset: 36697,	  bitflip: (9, 0),	
  layer: model.features.26.weight,	  offset: 1601392,	  bitflip: (9, 0),	
  layer: model.features.5.weight,	  offset: 64924,	  bitflip: (9, 0),	
  layer: model.features.14.weight,	  offset: 316294,	  bitflip: (9, 0),	
  layer: model.features.21.weight,	  offset: 290410,	  bitflip: (9, 0),	
  layer: model.features.7.weight,	  offset: 28658,	  bitflip: (9, 0),	
  layer: model.features.5.weight,	  offset: 53896,	  bitflip: (9, 0),	
